"card","num_exact","proportion","cluster"
"Wolf",3,0.084212158808933,"Cluster_2"
"Wolf",4,0.00992555831265509,"Cluster_2"
"Wolf",5,0.000155086848635236,"Cluster_2"
"Wolf",6,0,"Cluster_2"
"Wolf",7,0,"Cluster_2"
"Bear",0,0.174025974025974,"Cluster_3"
"Bear",1,0.38714969241285,"Cluster_3"
"Bear",2,0.307723855092276,"Cluster_3"
"Bear",3,0.107997265892003,"Cluster_3"
"Bear",4,0.0209159261790841,"Cluster_3"
"Bear",5,0.00205058099794942,"Cluster_3"
"Bear",6,0.000136705399863295,"Cluster_3"
"Bear",7,0,"Cluster_3"
"Bee",0,0.00642515379357485,"Cluster_3"
"Bee",1,0.284757347915243,"Cluster_3"
"Bee",2,0.395625427204375,"Cluster_3"
"Bee",3,0.222146274777854,"Cluster_3"
"Bee",4,0.0735475051264525,"Cluster_3"
"Bee",5,0.0159945317840055,"Cluster_3"
"Bee",6,0.00150375939849624,"Cluster_3"
"Bee",7,0,"Cluster_3"
"Meadow",0,0,"Cluster_3"
"Meadow",1,0,"Cluster_3"
"Meadow",2,0.000546821599453178,"Cluster_3"
"Meadow",3,0.0155844155844156,"Cluster_3"
"Meadow",4,0.165823650034176,"Cluster_3"
"Meadow",5,0.382501708817498,"Cluster_3"
"Meadow",6,0.255092276144908,"Cluster_3"
"Meadow",7,0.180451127819549,"Cluster_3"
"Trout",0,0.208749145591251,"Cluster_3"
"Trout",1,0.449077238550923,"Cluster_3"
"Trout",2,0.262064251537936,"Cluster_3"
"Trout",3,0.07053998632946,"Cluster_3"
"Trout",4,0.00833902939166097,"Cluster_3"
"Trout",5,0.000820232399179768,"Cluster_3"
"Trout",6,0.000410116199589884,"Cluster_3"
"Trout",7,0,"Cluster_3"
"Eagle",0,0.418318523581681,"Cluster_3"
"Eagle",1,0.394531784005468,"Cluster_3"
"Eagle",2,0.156801093643199,"Cluster_3"
"Eagle",3,0.026930963773069,"Cluster_3"
"Eagle",4,0.00328092959671907,"Cluster_3"
"Eagle",5,0.000136705399863295,"Cluster_3"
"Eagle",6,0,"Cluster_3"
"Eagle",7,0,"Cluster_3"
"Rabbit",0,0.384005468215995,"Cluster_3"
"Rabbit",1,0.419685577580314,"Cluster_3"
"Rabbit",2,0.167600820232399,"Cluster_3"
"Rabbit",3,0.0276144907723855,"Cluster_3"
"Rabbit",4,0.000956937799043062,"Cluster_3"
"Rabbit",5,0.000136705399863295,"Cluster_3"
"Rabbit",6,0,"Cluster_3"
"Rabbit",7,0,"Cluster_3"
"Dragonfly",0,0.293096377306904,"Cluster_3"
"Dragonfly",1,0.43362952836637,"Cluster_3"
"Dragonfly",2,0.217634996582365,"Cluster_3"
"Dragonfly",3,0.0490772385509228,"Cluster_3"
"Dragonfly",4,0.00601503759398496,"Cluster_3"
"Dragonfly",5,0.000546821599453178,"Cluster_3"
"Dragonfly",6,0,"Cluster_3"
"Dragonfly",7,0,"Cluster_3"
"Fox",0,0.16473000683527,"Cluster_3"
"Fox",1,0.360628844839371,"Cluster_3"
"Fox",2,0.303622693096377,"Cluster_3"
"Fox",3,0.135748462064252,"Cluster_3"
"Fox",4,0.0299384825700615,"Cluster_3"
"Fox",5,0.0050580997949419,"Cluster_3"
"Fox",6,0.000273410799726589,"Cluster_3"
"Fox",7,0,"Cluster_3"
"Deer",0,0.149692412850308,"Cluster_3"
"Deer",1,0.374025974025974,"Cluster_3"
"Deer",2,0.319890635680109,"Cluster_3"
"Deer",3,0.123581681476418,"Cluster_3"
"Deer",4,0.028298017771702,"Cluster_3"
"Deer",5,0.00423786739576213,"Cluster_3"
"Deer",6,0.000273410799726589,"Cluster_3"
"Deer",7,0,"Cluster_3"
"Stream",0,0.0453861927546138,"Cluster_3"
"Stream",1,0.166780587833219,"Cluster_3"
"Stream",2,0.290635680109364,"Cluster_3"
"Stream",3,0.282706766917293,"Cluster_3"
"Stream",4,0.158168147641832,"Cluster_3"
"Stream",5,0.0467532467532468,"Cluster_3"
"Stream",6,0.00874914559125085,"Cluster_3"
"Stream",7,0.000820232399179768,"Cluster_3"
"Wolf",0,0.182091592617908,"Cluster_3"
"Wolf",1,0.364456596035543,"Cluster_3"
"Wolf",2,0.288174982911825,"Cluster_3"
"Wolf",3,0.130416951469583,"Cluster_3"
"Wolf",4,0.0313055365686945,"Cluster_3"
"Wolf",5,0.00314422419685578,"Cluster_3"
"Wolf",6,0.000410116199589884,"Cluster_3"
"Wolf",7,0,"Cluster_3"
"Bear",0,0.132262474367738,"Cluster_4"
"Bear",1,0.356288448393712,"Cluster_4"
"Bear",2,0.335611756664388,"Cluster_4"
"Bear",3,0.140977443609023,"Cluster_4"
"Bear",4,0.0297334244702666,"Cluster_4"
"Bear",5,0.00478468899521531,"Cluster_4"
"Bear",6,0.000341763499658237,"Cluster_4"
"Bear",7,0,"Cluster_4"
"Bee",0,0.264012303485988,"Cluster_4"
"Bee",1,0.42822966507177,"Cluster_4"
"Bee",2,0.228810663021189,"Cluster_4"
"Bee",3,0.0659603554340396,"Cluster_4"
"Bee",4,0.0124743677375256,"Cluster_4"
"Bee",5,0.000512645249487355,"Cluster_4"
"Bee",6,0,"Cluster_4"
"Bee",7,0,"Cluster_4"
"Meadow",0,0.0240943267259057,"Cluster_4"
"Meadow",1,0.116712235133288,"Cluster_4"
"Meadow",2,0.240601503759398,"Cluster_4"
"Meadow",3,0.266917293233083,"Cluster_4"
"Meadow",4,0.223000683526999,"Cluster_4"
"Meadow",5,0.0919343814080656,"Cluster_4"
"Meadow",6,0.028879015721121,"Cluster_4"
"Meadow",7,0.00786056049213944,"Cluster_4"
"Trout",0,0.0717703349282297,"Cluster_4"
"Trout",1,0.395249487354751,"Cluster_4"
"Trout",2,0.369958988380041,"Cluster_4"
"Trout",3,0.12987012987013,"Cluster_4"
"Trout",4,0.0283663704716336,"Cluster_4"
"Trout",5,0.00427204374572796,"Cluster_4"
"Trout",6,0.000512645249487355,"Cluster_4"
"Trout",7,0,"Cluster_4"
"Eagle",0,0.0124743677375256,"Cluster_4"
"Eagle",1,0.295796308954204,"Cluster_4"
"Eagle",2,0.425495557074504,"Cluster_4"
"Eagle",3,0.213431305536569,"Cluster_4"
"Eagle",4,0.0483595352016405,"Cluster_4"
"Eagle",5,0.00427204374572796,"Cluster_4"
"Eagle",6,0.000170881749829118,"Cluster_4"
"Eagle",7,0,"Cluster_4"
"Rabbit",0,0.0037593984962406,"Cluster_4"
"Rabbit",1,0.156185919343814,"Cluster_4"
"Rabbit",2,0.502050580997949,"Cluster_4"
"Rabbit",3,0.277853725222146,"Cluster_4"
"Rabbit",4,0.0533151059466849,"Cluster_4"
"Rabbit",5,0.00649350649350649,"Cluster_4"
"Rabbit",6,0.000341763499658237,"Cluster_4"
"Rabbit",7,0,"Cluster_4"
"Dragonfly",0,0.258714969241285,"Cluster_4"
"Dragonfly",1,0.435577580314422,"Cluster_4"
"Dragonfly",2,0.232228298017772,"Cluster_4"
"Dragonfly",3,0.0663021189336979,"Cluster_4"
"Dragonfly",4,0.00632262474367738,"Cluster_4"
"Dragonfly",5,0.000854408749145591,"Cluster_4"
"Dragonfly",6,0,"Cluster_4"
"Dragonfly",7,0,"Cluster_4"
"Fox",0,0.155331510594668,"Cluster_4"
"Fox",1,0.365857826384142,"Cluster_4"
"Fox",2,0.297846889952153,"Cluster_4"
"Fox",3,0.139439507860561,"Cluster_4"
"Fox",4,0.0348598769651401,"Cluster_4"
"Fox",5,0.00632262474367738,"Cluster_4"
"Fox",6,0.000341763499658237,"Cluster_4"
"Fox",7,0,"Cluster_4"
"Deer",0,0.132946001367054,"Cluster_4"
"Deer",1,0.355434039644566,"Cluster_4"
"Deer",2,0.321257689678742,"Cluster_4"
"Deer",3,0.145933014354067,"Cluster_4"
"Deer",4,0.0367395762132604,"Cluster_4"
"Deer",5,0.00683526999316473,"Cluster_4"
"Deer",6,0.000854408749145591,"Cluster_4"
"Deer",7,0,"Cluster_4"
"Stream",0,0.0305878332194122,"Cluster_4"
"Stream",1,0.164900888585099,"Cluster_4"
"Stream",2,0.275803144224197,"Cluster_4"
"Stream",3,0.298701298701299,"Cluster_4"
"Stream",4,0.166780587833219,"Cluster_4"
"Stream",5,0.051948051948052,"Cluster_4"
"Stream",6,0.010082023239918,"Cluster_4"
"Stream",7,0.00119617224880383,"Cluster_4"
"Wolf",0,0.174299384825701,"Cluster_4"
"Wolf",1,0.371838687628161,"Cluster_4"
"Wolf",2,0.298188653451811,"Cluster_4"
"Wolf",3,0.125427204374573,"Cluster_4"
"Wolf",4,0.0266575529733424,"Cluster_4"
"Wolf",5,0.00341763499658236,"Cluster_4"
"Wolf",6,0.000170881749829118,"Cluster_4"
"Wolf",7,0,"Cluster_4"
"Bear",0,0.110071546505228,"Cluster_5"
"Bear",1,0.414144193725922,"Cluster_5"
"Bear",2,0.34493670886076,"Cluster_5"
"Bear",3,0.112135388002201,"Cluster_5"
"Bear",4,0.0167859108420473,"Cluster_5"
"Bear",5,0.0019262520638415,"Cluster_5"
"Bear",6,0,"Cluster_5"
"Bear",7,0,"Cluster_5"
"Bee",0,0.173637864611998,"Cluster_5"
"Bee",1,0.47220693450743,"Cluster_5"
"Bee",2,0.27146395156852,"Cluster_5"
"Bee",3,0.0693450742982939,"Cluster_5"
"Bee",4,0.0125206384149697,"Cluster_5"
"Bee",5,0.000825536598789213,"Cluster_5"
"Bee",6,0,"Cluster_5"
"Bee",7,0,"Cluster_5"
"Meadow",0,0.00646670335718217,"Cluster_5"
"Meadow",1,0.0741607044578976,"Cluster_5"
"Meadow",2,0.203632361034673,"Cluster_5"
"Meadow",3,0.325399009356081,"Cluster_5"
"Meadow",4,0.271601541001651,"Cluster_5"
"Meadow",5,0.0925976884975234,"Cluster_5"
"Meadow",6,0.0202256466703357,"Cluster_5"
"Meadow",7,0.00591634562465603,"Cluster_5"
"Trout",0,0.120390753990094,"Cluster_5"
"Trout",1,0.537974683544304,"Cluster_5"
"Trout",2,0.287837094111172,"Cluster_5"
"Trout",3,0.0476059438635113,"Cluster_5"
"Trout",4,0.00577875619152449,"Cluster_5"
"Trout",5,0.000412768299394606,"Cluster_5"
"Trout",6,0,"Cluster_5"
"Trout",7,0,"Cluster_5"
"Eagle",0,0.350302696752889,"Cluster_5"
"Eagle",1,0.44537699504678,"Cluster_5"
"Eagle",2,0.167171161254816,"Cluster_5"
"Eagle",3,0.0338470005503577,"Cluster_5"
"Eagle",4,0.00330214639515685,"Cluster_5"
"Eagle",5,0,"Cluster_5"
"Eagle",6,0,"Cluster_5"
"Eagle",7,0,"Cluster_5"
"Rabbit",0,0.341496973032471,"Cluster_5"
"Rabbit",1,0.482388552559163,"Cluster_5"
"Rabbit",2,0.160979636763897,"Cluster_5"
